ZCTA	ghi
72013	4.584
94542	5.016
94544	5.016
94545	4.896
94546	4.968
94547	5.088
94548	5.208
94549	5.184
94550	5.4
94551	5.2320004
94552	5.136
94553	5.184
94555	5.088
94556	5.112
94558	5.16
94559	5.016
94560	5.112
94561	5.184
94563	5.088
94564	5.064
94565	5.184
94566	5.208
94567	5.136
94568	5.16
94569	5.064
94571	5.184
94572	5.088
42566	4.32
48837	3.936
39601	4.848
42567	4.32
39629	4.824
48838	3.936
39630	4.824
42602	4.3919997
42603	4.368
48840	3.96
39631	4.848
48841	3.912
42629	4.32
42631	4.32
39633	4.9440002
39635	4.848
48842	3.96
39638	4.848
39641	4.848
39643	4.872
42633	4.32
48843	3.96
42634	4.32
48845	3.96
42635	4.32
42638	4.3440003
39645	4.848
39647	4.824
42642	4.3440003
48846	3.936
95968	5.016
95969	4.9440002
95970	5.04
95971	4.968
95973	4.992
95974	5.016
95975	5.016
95977	5.016
95978	4.92
95979	5.136
95981	4.992
95982	5.088
95983	5.112
95984	5.088
95986	5.016
95987	5.112
95988	5.064
95991	5.064
95993	5.064
96001	4.776
96002	4.8
96003	4.7279997
96006	4.872
96007	4.848
96008	4.8
96009	4.896
96010	4.896
96011	4.776
96013	4.92
96014	4.92
96015	4.872
96016	4.968
96017	4.8
96019	4.704
96020	5.064
96021	4.968
43788	4.032
23093	4.3919997
23102	4.44
49953	3.7440002
49955	3.768
23103	4.44
43793	4.032
23106	4.3919997
23108	4.416
49958	3.768
43802	4.032
49959	3.768
49960	3.768
23109	4.488
49961	3.7440002
23110	4.416
43804	4.008
43805	4.008
43811	4.032
49962	3.768
49963	3.768
49965	3.768
23111	4.416
49967	3.7440002
43812	4.032
49968	3.7919998
37723	4.416
37724	4.296
33825	5.2320004
33827	5.184
37725	4.4639997
37726	4.368
37727	4.3919997
37729	4.3440003
37730	4.296
37731	4.416
37732	4.368
37733	4.368
33830	5.184
37737	4.5360003
33834	5.184
37738	4.2
33837	5.088
37742	4.56
33838	5.208
33839	5.208
33841	5.2320004
37743	4.4639997
33843	5.208
37745	4.488
33844	5.184
33847	5.184
33848	5.136
33849	5.112
33850	5.2320004
02651	4.104
02652	4.104
02653	4.0559998
02655	4.104
02657	4.128
02659	3.936
02660	4.104
02663	4.104
02664	4.032
02666	4.08
02667	4.104
02668	4.08
02669	4.0559998
02670	4.032
02671	4.0559998
02672	4.128
02673	4.128
02675	4.128
02702	4.08
70514	4.9440002
75182	4.896
70515	4.872
80504	4.6559997
70516	4.9440002
80510	4.3919997
80511	4.5360003
75189	4.848
80512	4.416
75845	4.8
75846	4.896
75847	4.824
75848	4.92
75849	4.848
75850	4.896
75851	4.824
75852	4.896
75853	4.896
75855	4.896
75856	4.872
75858	4.824
75859	4.896
75860	4.92
75861	4.896
75862	4.848
75901	4.848
48603	3.936
48604	3.96
48607	3.96
42071	4.4639997
42076	4.4639997
48609	3.96
42078	4.44
42079	4.488
48610	3.912
42081	4.44
42082	4.4639997
48611	3.936
42083	4.416
42084	4.368
42085	4.512
42086	4.4639997
42087	4.488
48612	3.96
48613	3.936
48614	3.96
42088	4.512
48615	3.96
48616	3.936
48617	3.888
48618	3.936
27407	4.584
27408	4.584
27409	4.584
27410	4.56
27455	4.584
27501	4.632
27502	4.584
31820	4.824
27503	4.584
31821	4.872
27504	4.632
31822	4.776
31823	4.8
27505	4.6559997
31824	4.872
27507	4.5360003
27508	4.584
27509	4.5360003
31825	4.872
27510	4.56
31826	4.8
31827	4.824
31829	4.824
27511	4.6080003
31830	4.8
31831	4.824
31832	4.9440002
27513	4.584
27514	4.56
31833	4.776
31836	4.8
27516	4.584
31901	4.848
41390	4.248
41397	4.2
41408	4.224
41421	4.248
41425	4.224
41464	4.2
41465	4.224
41472	4.224
41501	4.2
41503	4.176
41512	4.248
41513	4.2
41514	4.176
41517	4.248
41519	4.176
41522	4.224
41524	4.2
41526	4.2
41527	4.2
41528	4.224
41531	4.176
72014	4.68
73430	4.9440002
84518	5.064
73432	4.8
84520	4.992
84521	5.088
84522	5.112
73433	4.896
84523	5.088
73434	4.92
73437	4.896
73438	4.92
84525	5.088
72015	4.632
72016	4.6080003
72017	4.6559997
84526	4.896
73439	4.824
73440	4.7279997
73441	4.992
84528	5.04
73442	4.9440002
84529	4.968
73443	4.896
73444	4.92
84530	5.064
72019	4.6080003
94573	5.088
94574	5.112
94575	5.112
94576	5.064
94577	4.872
94578	4.968
94579	4.872
94580	4.9440002
94582	5.208
94583	5.136
94585	5.208
94586	5.184
94587	5.064
94588	5.256
94589	5.016
94590	5.016
94591	5.088
94592	5.016
94595	5.136
94596	5.184
94597	5.16
94598	5.208
94599	5.064
94601	4.92
42647	4.296
42649	4.32
48847	3.936
42653	4.296
48848	3.936
39648	4.848
48849	3.96
48850	3.912
39652	4.848
48851	3.912
48852	3.936
48853	3.936
42701	4.3440003
42712	4.368
39653	4.824
43103	4.104
20158	4.224
37097	4.512
43105	4.104
49461	3.912
20164	4.224
37098	4.4639997
43106	4.176
59701	3.96
59703	4.104
43107	4.08
43109	4.104
20165	4.224
59710	4.08
49464	3.936
37101	4.4639997
20166	4.224
43110	4.104
96022	4.848
96023	4.872
96024	4.848
96025	4.848
96027	4.872
96028	4.968
96029	4.992
96031	4.776
96032	4.776
96033	4.848
96034	4.9440002
96035	4.9440002
96037	4.824
96038	4.824
96039	4.6080003
96040	4.968
96041	4.848
96044	4.776
96046	4.752
96047	4.848
96048	4.848
96049	4.584
96050	4.776
96051	4.776
96052	4.848
96054	4.92
96055	4.9440002
96056	4.9440002
92705	5.3519998
92706	5.3519998
92707	5.3519998
92708	5.3519998
92780	5.3519998
92782	5.3519998
92801	5.3519998
92802	5.3519998
92804	5.376
92805	5.3519998
92806	5.376
92807	5.376
92808	5.4
23112	4.4639997
43821	4.08
49969	3.7919998
49970	3.7440002
23113	4.44
49971	3.7919998
54540	3.7919998
54554	3.84
43822	4.0559998
23114	4.44
23115	4.3919997
43824	4.008
43830	4.0559998
23116	4.416
43832	4.008
43836	4.008
23117	4.3919997
23119	4.4639997
43837	4.008
23120	4.44
43840	4.008
43842	4.08
23123	4.44
43843	4.0559998
23124	4.416
23125	4.44
23126	4.368
23128	4.4639997
23129	4.44
23130	4.44
43844	4.032
23138	4.44
43845	4.032
43901	4.008
43902	4.032
43903	4.008
33851	5.208
37748	4.44
37752	4.368
37753	4.368
37754	4.512
37755	4.3440003
37756	4.3440003
37757	4.416
33852	5.184
37760	4.5360003
37762	4.32
33853	5.2320004
33854	5.136
33855	5.256
33856	5.136
33857	5.208
37763	4.4639997
33859	5.2320004
37764	4.512
37765	4.416
33860	5.184
37766	4.368
33865	5.2320004
33867	5.16
37769	4.44
33868	5.136
37770	4.3440003
33870	5.208
02703	4.0559998
02713	4.128
02715	4.0559998
02717	4.0559998
02718	4.08
02719	4.08
02720	4.104
02721	4.08
02723	4.08
02724	4.08
02725	4.08
75904	4.848
75925	4.824
75926	4.824
75928	4.824
75929	4.8
75930	4.848
75931	4.824
75932	4.8
75933	4.8
75934	4.824
75935	4.824
75936	4.824
75937	4.824
75938	4.8
75939	4.824
75941	4.824
75942	4.824
75943	4.8
75944	4.872
75946	4.824
75948	4.824
75949	4.824
75951	4.8
75954	4.8
75956	4.824
75959	4.824
75960	4.848
75961	4.824
75962	4.848
42101	4.368
42102	4.3440003
48619	3.8639998
48621	3.8639998
42103	4.368
48622	3.912
48623	3.96
42104	4.3919997
42120	4.3919997
42122	4.368
42123	4.416
42124	4.368
39422	4.824
42127	4.3919997
39423	4.872
48624	3.888
42129	4.3440003
42130	4.3919997
39425	4.848
42133	4.416
39426	4.872
39427	4.848
42134	4.4639997
42140	4.3919997
48625	3.888
48626	3.936
48627	3.816
48628	3.912
39428	4.848
48629	3.768
48630	3.768
42141	4.3919997
27517	4.5360003
31903	4.824
27518	4.6080003
27519	4.6080003
31904	4.848
27520	4.584
27521	4.6559997
27522	4.56
31906	4.824
27523	4.584
27524	4.6559997
31907	4.8
27525	4.56
56060	4.008
56062	4.008
56063	3.9840002
56065	3.9840002
56068	3.9840002
56069	3.96
56071	3.96
56072	3.9840002
56073	3.9840002
56074	3.96
56075	4.032
56078	3.9840002
56080	3.9840002
56081	4.008
56082	3.9840002
41534	4.248
41535	4.176
41537	4.2
41538	4.2
41539	4.2
41540	4.2
41543	4.2
41544	4.2
41547	4.2
41548	4.224
41553	4.2
41554	4.224
41555	4.2
41557	4.2
41558	4.2
41559	4.224
41560	4.224
41562	4.2
41563	4.2720003
41564	4.2
72020	4.632
73446	4.872
73447	4.8
72021	4.7279997
84532	5.256
84533	5.52
72022	4.632
73448	4.896
73449	4.872
73450	4.824
72023	4.632
73453	4.896
73455	4.824
84534	5.472
72024	4.704
73456	4.92
72025	4.584
72026	4.704
73458	4.872
72027	4.6080003
73459	4.92
84535	5.208
72029	4.7279997
72030	4.56
84537	4.992
84539	5.016
73460	4.8
84540	5.088
84542	5.064
73461	4.776
72031	4.5360003
73463	4.92
73481	4.92
94602	5.088
94603	4.872
94605	4.872
94606	4.92
94607	4.896
94608	4.824
94609	4.9440002
94610	4.9440002
94611	5.088
94612	4.9440002
94613	5.088
94618	4.9440002
94619	5.112
94621	4.848
94702	4.824
94703	4.824
94704	4.9440002
94705	5.112
94706	4.8
94707	4.8
94708	5.064
94709	5.064
94710	4.824
94720	4.9440002
94801	5.016
94803	5.064
94804	4.752
94805	5.064
94806	5.064
94850	4.8
94901	5.088
94903	5.088
94904	5.16
43111	4.08
20169	4.296
43112	4.104
49503	3.936
20170	4.224
59711	4.032
59713	3.888
20171	4.248
37110	4.44
43113	4.104
43115	4.152
43116	4.152
43117	4.128
49504	3.936
37115	4.416
37118	4.416
20175	4.248
43119	4.128
49505	3.936
59714	4.008
20176	4.248
49506	3.912
37122	4.44
20180	4.248
20181	4.32
37127	4.44
92821	5.376
92823	5.376
92831	5.3519998
92832	5.3519998
92833	5.3519998
92835	5.4
92840	5.3519998
92841	5.376
92843	5.3519998
92844	5.376
92845	5.376
92860	5.52
92861	5.3519998
92865	5.3519998
92866	5.376
92867	5.3519998
92868	5.376
92869	5.376
92870	5.376
92879	5.544
92880	5.52
92881	5.544
92882	5.52
92883	5.568
92886	5.4
92887	5.4
93001	5.016
93003	5.4960003
93004	5.4
93010	5.3519998
93012	5.4
93013	5.472
93015	5.52
43905	4.008
23139	4.44
23140	4.416
43906	4.008
23141	4.44
23146	4.416
23148	4.3919997
43907	4.008
23149	4.416
43908	3.9840002
23150	4.44
23153	4.416
43910	4.032
23156	4.416
23160	4.44
23161	4.3919997
23163	4.44
23168	4.44
43912	3.9840002
43913	3.96
43914	4.032
23169	4.368
23173	4.416
43915	4.032
37771	4.512
33872	5.184
37772	4.488
33873	5.2320004
33875	5.208
37774	4.56
33876	5.2320004
33877	5.2320004
37777	4.512
37779	4.488
33880	5.256
37801	4.5360003
33881	5.184
37803	4.4639997
33884	5.2320004
37804	4.488
37806	4.512
33890	5.256
33896	5.088
37807	4.488
37809	4.488
33897	5.16
37810	4.488
37811	4.44
33898	5.136
37813	4.488
33901	5.328
37814	4.5360003
37818	4.512
33903	5.304
37819	4.32
37820	4.5360003
75964	4.848
75965	4.8
75966	4.8
75968	4.776
75969	4.824
75972	4.824
75973	4.824
75974	4.8
75975	4.824
75976	4.824
75977	4.776
75978	4.824
75979	4.8
75980	4.8
76001	4.968
76002	4.992
76006	4.992
76008	5.016
76009	4.992
76010	5.016
76011	4.992
76012	4.9440002
76013	4.992
76014	5.016
76015	5.016
76016	5.016
76017	5.016
76018	5.016
76020	5.016
48631	3.96
42151	4.32
42153	4.416
42154	4.3919997
42156	4.416
42157	4.3919997
42159	4.3919997
42160	4.3919997
42163	4.32
39429	4.848
48632	3.912
48633	3.888
48634	3.96
48635	3.888
42164	4.416
48636	3.84
42166	4.368
39437	4.848
48637	3.936
48638	3.936
39439	4.824
42167	4.3919997
56083	4.008
56085	3.9840002
56087	4.008
56088	4.008
56089	4.032
56090	4.008
